row_num,Name,Distance,Mass,Radius,Constellation,Declination,App.mag.,Orbitalperiod,Semimajoraxis,Ecc.,Discovery year,Gravity
0,15 sagittae,57.7,1.2341390958e+29,,Sagitta,+17° 04′ 13″,5.8,,14,,2002.0
1,2mass j0523-1403,40.3,1.3290728724000003e+26,57113.190957599996,,,,,,,,6.617155938253247e-07
2,54 piscium,36.1,1.00629803196e+29,,Pisces,+21° 15′ 02″,5.88,,476,,2006.0
3,54 piscium,36.1,1.44299340432e+27,624260.459304,,,,,,,,6.013511097892382e-08
4,61 cygni,11.41,1.3290728724e+27,441631.069614,,,,,,,,1.1066874400886655e-07
5,81 cancri,66,,,Cancer,14°  59 ′  39.6″,6.77,,,,2007.0
6,ab pictoris,66.6,2.5632119682e+28,,Pictor,−58° 03′ 15″,9.16,,275,,2005.0
7,achernar,144,1.27211260644e+28,6176193.90588,,,,,,,,5.416006006300493e-09
8,acrux,320,3.4176159576e+28,5910551.157240001,,,,,,,,1.5887761930271755e-08
9,adhara,430,2.3733444149999997e+28,9297496.2024,,,,,,,,4.458863458392948e-09
10,aldebaran,65,2.8480132979999997e+27,29220702.3504,,,,,,,,5.4169663502790353e-11
11,alhena,109,5.3162914896e+27,2191552.6762799304,,,,,,,,1.7976303147593796e-08
12,alioth,81,5.5061590428e+27,2789248.86072,,,,,,,,1.1493959137190707e-08
13,alkaid,104,1.15819207452e+28,2257963.36344,,,,,,,,3.6892852255049195e-08
14,almaaz,653,2.848013298e+28,92974962.024,,,,,,,,5.3506361500715364e-11
15,alnair,101,7.594702128e+27,2257963.36344,,,,,,,,2.419203426560603e-08
16,alnilam,"2,000",6.0757617024e+28,27892488.607199997,,,,,,,,1.2682989392762166e-09
17,alnitak,1050,6.265629255599999e+28,13282137.432,,,,,,,,5.767985769777117e-09
18,alpha centauri,4.4,2.0885430852e+27,796928.24592,,,,,,,,5.3407275646084434e-08
19,alphard,180,5.696026595999999e+27,33205343.58,,,,,,,,8.389797483312172e-11
20,alsephina[2],80,4.5568212768e+27,1925909.9276400001,,,,,,,,1.9951955965070563e-08
21,altair,17,3.4176159576e+27,1195392.36888,,,,,,,,3.8841655015334126e-08
22,antares,600,2.2784106383999997e+28,451592672.688,,,,,,,,1.8144025699204524e-12
23,arcturus,37,2.0885430852e+27,17266778.661599997,,,,,,,,1.1376697770763548e-10
24,atria,390,1.3290728723999999e+28,61097832.1872,,,,,,,,5.782193445099362e-11
25,avior,630,1.7088079788e+28,86333893.308,,,,,,,,3.723282906795342e-11
26,barnard's star,5.98,2.6581457448e+26,132821.37432,,,,,,,,2.4470242659660504e-07
27,bd−04°782,66.6,3.987218617199999e+28,,Eridanus,–04° 25′ 06″,9.39,240.92,0.7,0.28,1996.0
28,bellatrix,240,1.63286095752e+28,3851819.8552800003,,,,,,,,1.7873627218709047e-08
29,betelgeuse,640,3.797351064e+28,630901528.02,,,,,,,,1.5493624161241315e-12
30,canopus,310,2.848013298e+28,47151587.8836,,,,,,,,2.0803901714223793e-10
31,capella,43,4.936556383199999e+27,7969282.4592,,,,,,,,1.262353787998359e-09
32,castor,52,5.3162914896e+27,1593856.49184,,,,,,,,3.398644813841737e-08
33,cd−33°7795,163.08,3.797351064e+28,,Hydra,–34° 36′ 17″,11.37,,100,,1998.0
34,chahα8,522,3.4176159576e+28,,Chamaeleon,−77° 40′ 08″,20.1,1590.9,1,0.49,2007.0
35,corot-15,,1.203760287288e+29,743799.6961920001,Monoceros,+6° 11′ 10.5″,22.0,3.06036,0.045,0,2010.0,3.533649290776412e-06
36,corot-20,4000,3.2277484044000003e+28,,Monoceros,+0° 13′ 37″,14.66,1675,2.9,0.6,2010.0
37,corot-3,2220,4.112531202312e+28,670747.940316,Aquila,+00° 07′ 19″,13.3,4.2568,0.057,0,2008.0,1.4845196017428163e-06
38,ct chamaeleontis,538,3.2277484044000003e+28,1461035.11752,Chamaeleon,–76° 27′ 19″,12.36,,440,,2008.0,2.4556914121264964e-07
39,delta cephei,887,8.544039894e+27,29552755.786199998,,,,,,,,1.5887761930271758e-10
40,delta pavonis,19.92,1.881587452212e+27,810210.3833519999,,,,,,,,4.655048657373893e-08
41,deneb,"2,600",3.6074835108e+28,134813694.9348,,,,,,,,3.2235303004790875e-11
42,dt virginis,37.55,2.3733444149999997e+28,730517.55876,Virgo,12°  21 ′  14.7″,9.72,33081,,,2010.0,7.222621800372047e-07
43,dubhe,120,8.069371011000001e+27,19923206.148,,,,,,,,3.3015406763034016e-10
44,elnath,130,9.49337766e+27,2789248.86072,,,,,,,,1.9817170926190875e-08
45,epsilon indi,11.8,5.3162914895999995e+28,,Indus,–56° 47′ 09″,4.69,5478.75,2.65,,2003.0
46,epsilon indi,11.8,8.9237750004e+28,,Indus,–56° 47′ 09″,4.69,1532899.8,,,2003.0
47,eta carinae,"7,500",1.8986755319999998e+29,585078153.8796,,,,,,,,9.007793360862168e-12
48,eta coronae borealis,58.3,1.19616558516e+29,,Corona Borealis,30° 14′ 56″,5.02,,3600,,2010.0
49,fomalhaut,25,3.6074835108e+27,1195392.36888,,,,,,,,4.099952473840824e-08
50,g 196-3,50.2,4.7466888299999995e+28,,Ursa Major,+50° 23′ 23″,11.77,,300,,1998.0
51,gacrux,88,2.8480132979999997e+27,55784977.21439999,,,,,,,,1.4862878194643164e-11
52,gamma velorum,"1,100",1.7088079788e+28,3984641.2296,,,,,,,,1.7478744756900355e-08
53,gd 165,103,,,Boötes,9° 17′ 13.98″,14.6,,,,1988.0
54,gliese 1214,47.5,3.0378808511999997e+26,139462.44303599998,,,,,,,,2.536597878552433e-07
55,gliese 229,19,7.594702128e+28,,Lepus,–21° 51′ 42″,8.14,73050,40,,1995.0
56,gliese 569,31.5,2.2024636171199998e+29,,Boötes,+16° 06′ 04″,10.2,870[7],0.87[7],0.317[7],1988.0
57,gliese 570,19,9.873112766399999e+28,,Libra,−21° 24′ 56″,5.64,,1500,,2000.0
58,gliese 758,51.9,4.3669537235999995e+28,,Lyra,+33° 13′ 19″,6.36,96,21,,2009.0
59,gq lupi,400,,1195392.36888,Lupus,–35° 39′ 03″,11.4,,103,,2005.0
60,gu piscium,155.3,2.0885430852e+28,,Pisces,+17° 03′ 55.7″,13.1,,2000,,2006.0
61,hadar,390,1.9936093085999997e+28,5711319.095760001,,,,,,,,9.925733907379866e-09
62,hat-p-13,698,2.88598680864e+28,,Ursa Major,+47° 21′ 07″,10.62,428.5,1.186,0.691,2009.0
63,hd 100546,337.25,3.797351064e+28,,Musca,–70° 11′ 41″,6.7,,6.5?,,2005.0
64,hd 110833,55.44,3.2277484044000003e+28,,Canes Venatici,+51° 45′ 40″,7.04,270.04,0.8,0.69,1996.0
65,hd 112758,53.81,6.6453643620000005e+28,,Virgo,–09° 50′ 03″,7.56,103.22,0.35,0.16,1996.0
66,hd 131664,180.8,3.44609609058e+28,,Apus,−73° 32′ 07″,8.13,1951,3.17,0.638,2008.0
67,hd 13189,603.4,2.6581457447999998e+28,,Triangulum,+32° 18′ 59″,7.57,471.6,1.85,0.28,2005.0
68,hd 136118,171,7.974437234399999e+28,,Serpens,−01° 35′ 32″,6.94,1209,1.45,0.352,2002.0
69,hd 140283,190,,929749.6202400001,,,,,,,
70,hd 140913,156.42,8.733907447199999e+28,,Corona Borealis,+28° 28′ 12″,8.07,147.94,0.54,0.61,1996.0
71,hd 149382,241,2.9429470746000002e+28,,Ophiuchus,−04° 00′ 52″,8.95,2.391,,0,2009.0
72,hd 162020,101.95,2.848013298e+28,,Scorpius,–40° 19′ 06″,9.18,8.428198,0.0751,0.277,2000.0
73,hd 164427,127.52,8.733907447199999e+28,,Telescopium,−59° 12′ 35″,6.89,108.55,0.46,0.55,2000.0
74,hd 16760,163,2.7151060107599997e+28,,Perseus,+38° 37′ 07″,8.74,465.1,1.13,0.067,2009.0
75,hd 168443,123.5,6.4554968088000005e+28,,Serpens,–09° 35′ 34″,6.92,1739.5,2.87,0.228,2001.0
76,hd 18445,83.92,7.4048345748e+28,,Fornax,–24° 58′ 30″,7.78,554.67,0.9,0.54,1991.0
77,hd 202206,151.14,3.30369542567998e+28,,Capricornus,–20° 47′ 20″,8.08,255.87,0.83,0.435,2000.0
78,hd 217580,58.7,1.1392053192e+29,,Aquarius,–03° 50′ 55″,7.46,454.66,1,0.52,1994.0
79,hd 283750,53.81,9.493377659999999e+28,,Taurus,+27° 08′ 00″,8.42,1.79,0.025,0.02,1996.0
80,hd 29587,146.77,7.594702128e+28,,Perseus,+42° 07′ 25″,7.29,1471.7,2.5,0.37,1996.0
81,hd 38529 a,138,7.0250994684e+28,,Orion,+01° 10′ 05″,5.94,2174.3,3.68,0.36,2002.0
82,hd 41004 b,139,3.49356297888e+28,,Pictor,–48° 14′ 23″,12.33,1.3283,0.0177,0.081,2004.0
83,hd 4113,136,1.1392053192e+29,,Sculptor,−37° 58′ 57.48″,7.88,73000,20,,2006.0
84,hd 8673,124.75,2.6581457447999998e+28,,Andromeda,+34° 34′ 47″,6.31,639,1.58,,2005.0
85,hd 89707,81.54,1.02528478728e+29,,Hydra,–15° 28′ 48″,7.19,298.25,,0.95,1991.0
86,hd 89744,126.2,,,Ursa Major,+41° 13′ 46.31″,5.74,,,,2000.0
87,hn pegasi,58.3,5.3162914895999995e+28,670747.940316,Pegasus,+14° 46′ 7.8″,,,795,,2006.0,1.9190465765835114e-06
88,hw virginis,590,3.6511530480359994e+28,,Virgo,−08° 40′ 17″,10.9,5786,5.3,0.46,2008.0
89,icarus,"14,40,00,00,000",6.265629255599999e+28,,,,,,,,
90,ii pegasi,130,1.5189404255999998e+27,2257963.36344,,,,,,,,4.8384068531212054e-09
91,kaus australis,140,6.645364361999999e+27,4515926.72688,,,,,,,,5.2920074956013184e-09
92,kic 8462852,"1,470",2.71510601076e+27,1049288.857128,,,,,,,,4.004903861939996e-08
93,la superba,"1,000",,85669786.4364,,,,,,,
94,lacaille 8760,12.87,1.1392053192e+27,338694.504516,,,,,,,,1.6128022843737354e-07
95,lhs 4040 [es],,,,Sculptor,－33°  16 ′  26.6″,20.7,,2200,,2004.0
96,luhman 16,6.52,7.594702127999999e+25,,,,,,,,
97,melnick 42,"1,63,000",3.58849675548e+29,14012654.990759999,,,,,,,,2.9680220651415452e-08
98,menkalinan,81,4.5378345214799993e+27,1839576.034332,,,,,,,,2.1777528688757502e-08
99,miaplacidus,110,6.645364361999999e+27,4515926.72688,,,,,,,,5.2920074956013184e-09
100,mimosa,350,3.0378808512e+28,5578497.72144,,,,,,,,1.58537367409527e-08
101,mintaka,1200,4.5568212767999995e+28,10957763.381399998,,,,,,,,6.163303936317483e-09
102,mira,300,2.2784106384e+27,245719542.492,,,,,,,,6.128413063047604e-13
103,mirfak,590,1.6138742022000001e+28,45159267.268800005,,,,,,,,1.2852018203603204e-10
104,mirzam,500,2.5632119682e+28,6641068.716,,,,,,,,9.438522168726193e-09
105,mu cephei,"6,000",3.64545702144e+28,645511879.1952001,,,,,,,,1.4208195707483906e-12
106,ngc 4349-127,7097,3.7593775533599998e+28,,Crux,−61° 52′ 18″,7.4,677.8,2.38,0.19,2007.0
107,nml cygni,"5,251",9.493377659999999e+28,1089135269.424,,,,,,,,1.2997281942965763e-12
108,nu ophiuchi,152.8,4.15809941507998e+28,,Ophiuchus,−09° 46′ 25″,3.33,536,,0.13,2004.0
109,p cygni,"5,545",5.696026596e+28,50472122.2416,,,,,,,,3.631318162790933e-10
110,peacock,180,1.12021856388e+28,3187712.98368,,,,,,,,1.7903575358630576e-08
111,pistol star,"25,000",1.8986755319999998e+29,212514198.912,,,,,,,,6.827634670664201e-11
112,polaris,430,1.02528478728e+28,25900167.992399998,,,,,,,,2.4821886045302287e-10
113,polaris australis,281,3.01889409588e+27,2483759.699784,,,,,,,,7.94738315750281e-09
114,pollux,34,3.6074835108e+27,5844140.47008,,,,,,,,1.7153726775883613e-09
115,procyon,11.4,2.8480132979999997e+27,1261803.05604,,,,,,,,2.9050545302327467e-08
116,proxima centauri,4.25,2.2784106384e+26,99616.03074,,,,,,,,3.728798881472076e-07
117,r coronae borealis,"4,566",1.6138742022e+27,56449084.086,,,,,,,,8.225291650306052e-12
118,r doradus,178,1.3290728724e+27,197903847.73680001,,,,,,,,5.511067668046597e-13
119,r136a1,"1,63,000",5.5061590428e+29,21251419.891200002,,,,,,,,1.9800140544926186e-08
120,ran,10.48,1.55691393624e+27,491439.084984,,,,,,,,1.0469372316039658e-07
121,rasalgethi,360,5.3162914896e+27,185949924.048,,,,,,,,2.496963536700051e-12
122,regulus,77,7.2149670216e+27,2058731.3019599998,,,,,,,,2.764588140529505e-08
123,rho cassiopeiae,"8,154",4.1770861704e+28,422371970.33760005,,,,,,,,3.802582815669948e-12
124,rigel,860,4.3669537235999995e+28,52398032.16924,,,,,,,,2.583116903100189e-10
125,rw cephei,"14,000",2.63915898948e+28,769035757.3128,,,,,,,,7.247161060876056e-13
126,s doradus,"1,69,000",4.5568212767999995e+28,252360611.20799997,,,,,,,,1.1620218120930986e-11
127,sargas,270,1.08224505324e+28,17266778.661599997,,,,,,,,5.895197935759293e-10
128,scheat,196,3.9872186172e+27,63090152.80199999,,,,,,,,1.6268305369303382e-11
129,scr 1845-6357,12.57,8.544039894e+28,,Pavo,−63° 57′ 43″,17.4,,4.1,,2006.0
130,shaula,700,2.7530795213999998e+28,5844140.47008,,,,,,,,1.3091002013174335e-08
131,sirius,8.6,3.9872186172e+27,1135622.750436,,,,,,,,5.021081904105982e-08
132,spica,260,2.170186133076e+28,4960878.330852,,,,,,,,1.4321063106248901e-08
133,sun,0.000015813,1.898675532e+27,664106.8716000001,,,,,,,,6.991497902760142e-08
134,tau ceti,11.9,1.4866629415559998e+27,593047.4363388,,,,,,,,6.864818763157508e-08
135,tau geminorum,302,3.43660271292e+28,,Gemini,+30° 14′ 43″,4.4,305,,,2004.0
136,titawin,44.25,2.4113179256399997e+27,982878.169968,,,,,,,,4.053689890661697e-08
137,trappist-1,39.6,1.68982122348e+26,79692.824592,,,,,,,,4.3211341204559214e-07
138,tyc 9486-927-1,111,2.52523845756e+28,,Octans,－81° 40′ 29.3″,11.82,328725000,6900,,2009.0
139,upsilon andromedae,43.9,2.6543483937359995e+28,,Andromeda,+41° 24′ 20″,4.63,237.7,0.822,0.224,1999.0
140,uscoctio 108,473,2.6581457447999998e+28,,Scorpius,–18° 18′ 43″,,,670,,2007.0
141,uy scuti,"5,100",1.3290728723999999e+28,501400688.05799997,,,,,,,,8.585673491394413e-13
142,v382 carinae,"8,900",3.797351064e+28,322091832.726,,,,,,,,5.944519419925724e-12
143,v838 monocerotis,"19,896",,252360611.20799997,,,,,,,
144,vb 10,18.72,1.424006649e+26,66410.68716,,,,,,,,5.243623427070108e-07
145,vega,25,4.1770861704e+27,1793088.5533200002,,,,,,,,2.1099170625613595e-08
146,vfts 352,"1,64,000",1.0913586957935998e+29,9609626.432052,,,,,,,,1.919331225773951e-08
147,vv cephei,"4,900",3.45558946824e+28,342679145.7456,,,,,,,,4.7790570665162324e-12
148,vy canis majoris,"3,900",3.2277484044000003e+28,943031757.672,,,,,,,,5.894438819030075e-13
149,wd 0137-349,330,1.00629803196e+29,,Sculptor,−34° 42′ 39″,15.33,0.0803,0.003,0,2006.0
150,wezen,"1,600",3.2277484044000003e+28,132821374.32,,,,,,,,2.9713866086730613e-11
151,wise 0855−0714,7.27,5.696026596e+24,,,,,,,,
152,woh g64,"1,63,000",3.797351064e+28,1022724582.2639999,,,,,,,,5.896017796222082e-13
153,wr 102,"18,134",3.6074835108e+28,259001.679924,,,,,,,,8.733626571495247e-06
154,xi ursae majoris b,25.11,7.0250994684e+28,,Ursa Major,+31° 32′ 15″,4.73,3.98,0.06,0,1931.0
155,ybp 1194,"2,772",1.91766228732e+27,657465.802884,,,,,,,,7.204788166297056e-08
156,zeta delphini,220,1.0442715426e+29,,Delphinus,+14° 40′ 27″,4.65,,910,,2014.0